BankCode,BranchAreaCode,BankName,BranchName
01,231,Kenya Commercial Bank Limited,Kapsowar
01,302,Kenya Commercial Bank Limited,Diaspora
01,303,Kenya Commercial Bank Limited,Kisii West
01,304,Kenya Commercial Bank Limited,Mbita
01,305,Kenya Commercial Bank Limited,Sori
01,306,Kenya Commercial Bank Limited,Hurlingham
01,307,Kenya Commercial Bank Limited,Kibera
01,308,Kenya Commercial Bank Limited,Thika Road Mall Branch
01,309,Kenya Commercial Bank Limited,Kasarani Branch
01,310,Kenya Commercial Bank Limited,KCB Maasai Mara
01,311,Kenya Commercial Bank Limited,KCB Kabartonjo
01,312,Kenya Commercial Bank Limited,KCB Eldoret East
01,313,Kenya Commercial Bank Limited,Kikim
01,314,Kenya Commercial Bank Limited,KCB JKUAT
01,315,Kenya Commercial Bank Limited,KCB Changamwe
01,316,Kenya Commercial Bank Limited,KCB Makongeni
01,317,Kenya Commercial Bank Limited,KCB Syokimau
01,340,Kenya Commercial Bank Limited,Karen Waterfront Platinum
01,341,Kenya Commercial Bank Limited,KCB Ngong Branch
01,325,Kenya Commercial Bank Limited,Garden City
01,326,Kenya Commercial Bank Limited,JKIA
01,327,Kenya Commercial Bank Limited,Makutano
01,330,Kenya Commercial Bank Limited,KCB NextGen
01,331,Kenya Commercial Bank Limited,KCB Mogotio
01,329,Kenya Commercial Bank Limited,Two Rivers
01,332,Kenya Commercial Bank Limited,KCB Upperhill Platinum
01,337,Kenya Commercial Bank Limited,KCB Kilimani Platinum
01,339,Kenya Commercial Bank Limited,KCB Utawala
01,242,Kenya Commercial Bank Limited,Ugunja
01,243,Kenya Commercial Bank Limited,United Mall
01,244,Kenya Commercial Bank Limited,Serem
01,245,Kenya Commercial Bank Limited,Sondu
01,246,Kenya Commercial Bank Limited,Kisumu West
01,247,Kenya Commercial Bank Limited,Marigat
01,248,Kenya Commercial Bank Limited,Mois Bridge
01,249,Kenya Commercial Bank Limited,Mashariki
01,250,Kenya Commercial Bank Limited,Naro Moro
01,251,Kenya Commercial Bank Limited,Kiriaini
01,252,Kenya Commercial Bank Limited,Egerton University
01,253,Kenya Commercial Bank Limited,Maua
01,254,Kenya Commercial Bank Limited,Kawangare
01,255,Kenya Commercial Bank Limited,Kimathi
01,256,Kenya Commercial Bank Limited,Namanga
01,288,Kenya Commercial Bank Limited,Haile Selassie
01,289,Kenya Commercial Bank Limited,Salama House Mortgage Centre
01,290,Kenya Commercial Bank Limited,Garden Plaza
01,291,Kenya Commercial Bank Limited,Sarit Centre Mortgage Centre
01,292,Kenya Commercial Bank Limited,Cpc Bulk Corporate Cheques
01,293,Kenya Commercial Bank Limited,Trade Services
01,295,Kenya Commercial Bank Limited,Nairobi High Court
01,296,Kenya Commercial Bank Limited,Mombasa High Court
01,298,Kenya Commercial Bank Limited,Port Victoria
01,300,Kenya Commercial Bank Limited,Nyali
01,301,Kenya Commercial Bank Limited,Westgate Advantage
01,287,Kenya Commercial Bank Limited,Kisauni
01,257,Kenya Commercial Bank Limited,Gikomba
01,258,Kenya Commercial Bank Limited,Kwale
01,259,Kenya Commercial Bank Limited,Prestige Plaza
